Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Mcdonald's - Vila Sta. Cecília (Vre),RESTAURANT,Lanches,2.66,4.4,884,true,false,false,true,15, 02.922.293/0002-70,VOLTA REDONDA,40030053,27260015,Vila Santa Cecilia,Rua 14,500,-22.517952,-44.108398,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,09:00:00 - 23:59:00,09:00:00 - 23:59:00
Corisco Rei Da Costela,RESTAURANT,Comida Brasileira,3.83,4.4,388,false,false,false,false,1, 27.240.188/0001-00,VOLTA REDONDA,33488156,27253320,Sao Joao,Rua Monteiro Lobato,45,-22.517123,-44.092668,08:30:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,08:30:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00
Sabor Na Panela E Grill,RESTAURANT,Comida Brasileira,4.02,4.5,379,false,false,false,false,20, 35.282.551/0001-70,VOLTA REDONDA,30264151,27253110,São João,Rua Marcílio Dias,248,-22.518412,-44.091409,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Sabor Na Marmita,RESTAURANT,Comida Brasileira,4.02,4.6,250,false,false,false,false,18, 35.282.551/0001-70,VOLTA REDONDA,998522000,27253110,São João,Rua Marcílio Dias,250,-22.5185,-44.091421,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Brasileirinho Delivery - Volta Redonda,RESTAURANT,Comida Brasileira,3.23,4.6,146,false,false,false,false,27, 35.965.315/0001-58,VOLTA REDONDA,33388499,27215630,Aterrado,Rua Lucas Evangelista De Oliveira Franco,660,-22.504992,-44.093821,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00
Sabor Do Chefe E Cia,RESTAURANT,Comida Brasileira,4.02,4.4,115,false,false,false,false,18, 35.282.551/0001-70,VOLTA REDONDA,999246048,27253110,São João,Rua Marcílio Dias,250,-22.518471,-44.09146,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
La Brasa Burger - Volta Redonda,RESTAURANT,Lanches,4.66,4.8,134,false,false,true,false,23, 43.885.109/0001-66,VOLTA REDONDA,993275428,27251410,Jardim Amália,Rua Senador Pinheiro Machado,139,-22.510577,-44.080961,,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:00:00,17:30:00 - 23:15:00,17:30:00 - 23:15:00,17:30:00 - 23:00:00
Bacião Pizzaria,RESTAURANT,Pizza,3.97,4.8,26,false,false,false,false,15, 12.530.114/0001-22,VOLTA REDONDA,33422761,27256050,Sessenta,Rua Cinquenta E Um,22,-22.524607,-44.097258,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,17:45:00 - 23:30:00
O Fornês - Pizzaria Volta Redonda,RESTAURANT,Pizza,3.46,4.7,34,false,false,false,false,40, 45.960.215/0001-92,VOLTA REDONDA,993071184,27213200,Aterrado,Av. Dezessete De Julho,82,-22.507226,-44.092115,16:00:00 - 23:59:00,16:00:00 - 23:59:00,17:15:00 - 23:59:00,16:00:00 - 23:59:00,16:00:00 - 23:59:00,16:00:00 - 23:59:00,16:00:00 - 23:59:00
Vieira Beer,RESTAURANT,Bebidas,3.71,0,0,false,true,false,false,10, 46.583.714/0001-70,VOLTA REDONDA,999422414,27278440,Nova Esperança,Rua Nossa Senhora De Fátima,16,-22.500364,-44.088593,00:00:00 - 02:00:00,02:30:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00
