Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Mcdonald's - Vila Sta. Cecília (Vre),RESTAURANT,Lanches,2.66,4.5,845,true,false,false,true,15,02922293000270,VOLTA REDONDA,40030053,27260015,Vila Santa Cecilia,Rua 14,500,-22.517952,-44.108398,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,10:00:00 - 23:59:00,09:00:00 - 23:59:00,09:00:00 - 23:59:00
Sabor Na Panela E Grill,RESTAURANT,Comida Brasileira,4.02,4.5,347,false,false,false,false,20,35282551000170,VOLTA REDONDA,30264151,27253110,São João,Rua Marcílio Dias,248,-22.518412,-44.091409,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Bacião Burguer's,RESTAURANT,Lanches,3.75,4.5,193,false,false,false,false,20,12530114000122,VOLTA REDONDA,33422761,27261130,Sessenta,Praça Pandiá Calógeras,10,-22.525152,-44.101045,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,10:15:00 - 23:30:00,17:45:00 - 23:30:00
Mcdonald's - Park Sul (Svr),RESTAURANT,Lanches,5.43,4.2,431,true,false,false,true,15,31231477000101,VOLTA REDONDA,40030053,23253005,Sao Geraldo,Rod Dos Metalurgicos,1189,-22.522406,-44.078054,10:00:00 - 22:00:00,10:00:00 - 22:00:00,10:00:00 - 22:00:00,10:00:00 - 22:00:00,10:00:00 - 22:00:00,10:00:00 - 22:00:00,10:00:00 - 22:00:00
Panela Com Sabor,RESTAURANT,Marmita,4.03,4.4,215,false,false,false,false,16,37102734000191,VOLTA REDONDA,30264151,27253110,São João,Rua Marcílio Dias,251,-22.518329,-44.091181,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Churrasco Gaúho,RESTAURANT,Carnes,3.87,4.1,89,false,false,false,false,10,27240188000100,VOLTA REDONDA,999923235,27253310,São João,Rua Monteiro Lobato,49,-22.517549,-44.092558,08:00:00 - 15:30:00,08:00:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00
Koni Volta Redonda,RESTAURANT,Comida Japonesa,2.6,4.4,129,true,false,false,true,20,18274230000104,VOLTA REDONDA,40030053,27260050,Vila Santa Cecilia,Rua 23,8,-22.517383,-44.108504,12:00:00 - 21:30:00,12:00:00 - 21:30:00,12:00:00 - 21:30:00,12:00:00 - 21:30:00,12:00:00 - 21:30:00,12:00:00 - 21:30:00,12:00:00 - 21:30:00
Salgados Supremo,RESTAURANT,Salgados,4.42,4.7,41,false,false,false,false,20,12108026000137,VOLTA REDONDA,30251811,27251430,Jardim Amali,R Vicentina Goulart,257,-22.511589,-44.083747,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:30:00 - 22:00:00,14:00:00 - 22:00:00
Sabor Gourmet,RESTAURANT,Carnes,3.45,4.5,83,false,false,false,false,18,37102734000191,VOLTA REDONDA,30278135,27213200,Aterrado,Avenida 17 De Julho,117,-22.50709,-44.092169,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Cosechas Shopping Park Sul,RESTAURANT,Bebidas,5.42,4.5,3,true,true,false,true,10,42509040000294,VOLTA REDONDA,992150074,27258000,Jardim Belvedere,Rodovia Dos Metalúrgicos,1189,-22.522546,-44.078298,10:00:00 - 21:30:00,10:00:00 - 21:30:00,10:00:00 - 21:30:00,10:00:00 - 21:30:00,10:00:00 - 21:30:00,10:00:00 - 21:30:00,12:00:00 - 21:30:00
Subway Retiro,RESTAURANT,Lanches,1.94,4.4,58,false,false,false,false,15,21095386000132,VOLTA REDONDA,999409643,27281422,Retiro,Avenida Sávio Cota De Almeida Gama,1704,-22.497439,-44.105797,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,11:00:00 - 21:30:00,16:00:00 - 21:30:00
Burger King - Sider Shopping,RESTAURANT,Lanches,2.68,4.4,309,true,false,false,true,10,13574594080874,VOLTA REDONDA,40030706,27260315,Vila Santa Cecilia,Rua Brás Magaldi Fernandes,300,-22.516642,-44.106541,10:00:00 - 21:30:00,10:00:00 - 21:30:00,10:00:00 - 20:30:00,10:00:00 - 21:30:00,11:00:00 - 21:30:00,10:00:00 - 21:30:00,11:00:00 - 21:00:00
Bobs Retiro Volta Redonda,RESTAURANT,Lanches,1.37,4.4,142,false,false,false,false,20,29057811000100,VOLTA REDONDA,32122009,27281421,Retiro,Av. Sávio Cota De Almeida Gama,2395,-22.500937,-44.111389,11:30:00 - 22:00:00,11:30:00 - 22:00:00,11:30:00 - 22:00:00,11:30:00 - 22:00:00,12:30:00 - 22:00:00,12:30:00 - 22:00:00,12:30:00 - 22:00:00
Corisco Rei Da Costela,RESTAURANT,Comida Brasileira,3.83,4.5,397,false,false,false,false,1,27240188000100,VOLTA REDONDA,33488156,27253320,Sao Joao,Rua Monteiro Lobato,45,-22.517123,-44.092668,08:30:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00,08:30:00 - 15:00:00,17:00:00 - 23:45:00,17:00:00 - 23:45:00
Sabor Na Marmita,RESTAURANT,Comida Brasileira,4.02,4.6,243,false,false,false,false,18,35282551000170,VOLTA REDONDA,30264151,27253110,São João,Rua Marcílio Dias,250,-22.5185,-44.091421,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Sabor & Aroma,RESTAURANT,Comida Brasileira,4.9,4.7,157,false,false,false,false,18,02404806000170,VOLTA REDONDA,33484075,27251025,Jardim Amalia,Cristóvão Colombo,129,-22.507842,-44.077905,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 15:00:00,18:15:00 - 23:15:00
Alecrim Gourmet,RESTAURANT,Comida Brasileira,2.54,4.1,242,false,false,false,false,15,37290476000114,VOLTA REDONDA,30271111,27264520,Conforto,Rua 3,21,-22.519817,-44.113644,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:30:00
Doceria Tea Time,RESTAURANT,Doces & Bolos,3.13,5.0,208,true,false,false,true,20,16805306000236,VOLTA REDONDA,40030053,27260210,Vila Santa Cecília,Rua 42,15,-22.519493,-44.103402,11:00:00 - 18:00:00,11:00:00 - 18:00:00,11:00:00 - 18:00:00,11:00:00 - 18:00:00,11:00:00 - 18:00:00,11:00:00 - 18:00:00,
Restaurante Mutirão Culinária Natural,RESTAURANT,Comida Saudável,2.96,4.7,74,false,false,false,false,30,27806116000179,VOLTA REDONDA,33424217,27259260,Vila Santa Cecília,Rua Vinte E Um,58,-22.520815,-44.107593,10:00:00 - 15:30:00,10:00:00 - 15:30:00,10:00:00 - 15:30:00,10:00:00 - 15:30:00,10:00:00 - 15:30:00,11:00:00 - 15:30:00,11:00:00 - 15:30:00
Brasileirinho Delivery - Volta Redonda,RESTAURANT,Comida Brasileira,3.23,4.6,137,false,false,false,false,27,35965315000158,VOLTA REDONDA,33388499,27215630,Aterrado,Rua Lucas Evangelista De Oliveira Franco,660,-22.504992,-44.093821,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00,10:30:00 - 22:15:00
Sabor.di,RESTAURANT,Comida Saudável,3.27,4.9,104,false,false,true,false,2,36907122000103,VOLTA REDONDA,32122058,27215590,Aterrado,Rua Pedro Maria Netto,216,-22.503766,-44.093188,10:15:00 - 20:30:00,10:15:00 - 20:30:00,10:15:00 - 20:30:00,10:15:00 - 20:30:00,10:15:00 - 20:30:00,10:15:00 - 15:00:00,
Sabor E Amor Restaurante,RESTAURANT,Comida Brasileira,4.35,4.8,280,false,false,false,false,10,43577726000102,VOLTA REDONDA,999198456,27211580,Parque Das Ilhas,"Rua Washington - Parque Das Ilhas, Volta Redonda - Rj",67,-22.488373,-44.083951,10:45:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 14:30:00,10:30:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 14:30:00,
Green Station Volta Redonda,RESTAURANT,Comida Saudável,3.05,4.8,106,false,false,false,false,20,31290674000100,VOLTA REDONDA,981588336,27261310,Vila Santa Cecília,Rua Trinta E Três,98,-22.519054,-44.104019,11:00:00 - 20:30:00,11:00:00 - 20:30:00,00:00:00 - 00:15:00,11:00:00 - 20:30:00,11:00:00 - 20:30:00,11:00:00 - 15:00:00,
Kiriatti Emporio Gourmet,RESTAURANT,Comida Japonesa,3.47,4.8,102,false,false,false,false,20,12086739000147,VOLTA REDONDA,33468629,27213340,Aterrado,Rua José Fulgêncio De Carvalho Netto,44,-22.508415,-44.092336,10:45:00 - 14:45:00,10:45:00 - 14:45:00,10:45:00 - 14:45:00,10:45:00 - 14:00:00,10:45:00 - 14:45:00,10:45:00 - 14:00:00,
Ricardo Buffet Delivery,RESTAURANT,Salgados,2.87,4.5,166,false,false,false,false,15,43681658000119,VOLTA REDONDA,33492743,27265431,Conforto,Avenida Nossa Senhora Da Conceicao,367,-22.525081,-44.126845,11:15:00 - 22:00:00,11:15:00 - 22:00:00,11:15:00 - 22:00:00,11:15:00 - 22:00:00,11:15:00 - 22:00:00,11:15:00 - 22:00:00,14:15:00 - 22:00:00
Mizu Sushi Lounge,RESTAURANT,Comida Japonesa,2.53,4.4,229,false,false,false,false,0,34275187000158,VOLTA REDONDA,981057267,27240760,Conforto,Rua 2,13,-22.517648,-44.110004,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00
Restaurante Estação Colina,RESTAURANT,Comida Brasileira,6.63,4.7,64,false,false,true,false,20,38654668000125,VOLTA REDONDA,999667011,27258170,Jardim Belvedere,Rua Bouganville,20,-22.53438,-44.072406,10:30:00 - 14:30:00,10:30:00 - 14:30:00,10:30:00 - 14:30:00,10:30:00 - 14:30:00,10:30:00 - 14:30:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00
Trajano Gastronomia,RESTAURANT,Comida Brasileira,3.27,4.4,76,false,false,false,false,15,23701438000100,VOLTA REDONDA,33462003,27215270,Aterrado,Rua Embaixador Assis Chateaubriand,49,-22.507187,-44.093973,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:30:00 - 14:45:00,10:45:00 - 14:45:00,10:45:00 - 14:45:00
Paganini Doceria,RESTAURANT,Doces & Bolos,0.14,4.6,99,false,false,false,false,15,27427241000178,VOLTA REDONDA,992506055,27277330,Retiro,Av António De Almeida 1250 Retiro,1250,-22.500341,-44.123991,13:45:00 - 21:00:00,13:45:00 - 21:00:00,13:45:00 - 21:00:00,13:45:00 - 21:00:00,13:45:00 - 21:00:00,14:30:00 - 20:30:00,14:30:00 - 20:30:00
Brasador,RESTAURANT,Carnes,2.95,4.7,49,false,false,true,false,0,15211557000149,VOLTA REDONDA,33481592,27261610,Vila Santa Cecília,Rua Vinte E Um,56,-22.52078,-44.107781,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:30:00 - 15:00:00,10:15:00 - 15:30:00
Empadona,RESTAURANT,Lanches,3.42,4.8,92,false,false,false,false,25,35072423000100,VOLTA REDONDA,998277618,27213240,Aterrado,Rua Luiz Alves Pereira,197,-22.506153,-44.092157,10:00:00 - 19:15:00,10:00:00 - 19:15:00,10:00:00 - 20:30:00,10:00:00 - 19:15:00,10:00:00 - 19:15:00,10:00:00 - 19:30:00,
Spoleto - Sider Shopping,RESTAURANT,Comida Italiana,2.68,3.7,94,true,false,false,true,20,33707954000198,VOLTA REDONDA,40030053,27260315,Vila Santa Cecilia,Rua Brás Magaldi Fernandes,300,-22.516642,-44.106541,11:00:00 - 21:00:00,11:00:00 - 21:00:00,11:00:00 - 21:00:00,11:00:00 - 21:00:00,11:00:00 - 21:00:00,11:00:00 - 21:00:00,11:00:00 - 21:00:00
Açaí Da Ju,RESTAURANT,Açaí,1.73,4.8,103,false,false,true,false,10,41870813000110,VOLTA REDONDA,33400341,27281347,Bom Jesus,Avenida Waldir Sobreira Pires,496,-22.495125,-44.108376,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00
Tony Montana,RESTAURANT,Pizza,3.02,4.6,42,false,false,true,false,0,27480661000118,VOLTA REDONDA,999940312,27262330,Bela Vista,Rua Vinte E Um-c,24,-22.521547,-44.107621,17:45:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00,11:30:00 - 22:30:00
Cosechas Volta Redonda,RESTAURANT,Comida Saudável,2.68,4.9,84,true,false,false,true,20,42509040000103,VOLTA REDONDA,Sem Número,27260315,Vila Santa Cecília,Rua Doze,300,-22.516675,-44.106445,10:00:00 - 21:15:00,10:00:00 - 21:15:00,10:00:00 - 21:15:00,10:00:00 - 21:15:00,10:00:00 - 21:15:00,10:00:00 - 21:15:00,11:00:00 - 21:15:00
Dalapo Sorvetes E Açaí,RESTAURANT,Açaí,4.42,4.7,77,false,false,false,false,20,12108026000137,VOLTA REDONDA,30251811,27251430,Jardim Amalia,Rua Dona Vicentina Goulart,257,-22.511589,-44.083747,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00
Bendita Marmita,RESTAURANT,Marmita,2.54,3.6,75,false,false,false,false,15,42504082000151,VOLTA REDONDA,998171177,27262070,Conforto,Rua Três,19,-22.519816,-44.113679,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:30:00
Sabor Do Chefe E Cia,RESTAURANT,Comida Brasileira,2.68,4.4,117,false,false,false,false,18,35282551000170,VOLTA REDONDA,30264151,27260010,Vila Santa Cecília,Rua Trinta E Três,310,-22.516762,-44.106577,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Oba Temos Brownie,RESTAURANT,Doces & Bolos,3.16,4.6,93,false,false,false,false,16,28580494000140,VOLTA REDONDA,992375854,27260010,Vila Santa Cecília,Rua Alberto Pasqualine,90,-22.520229,-44.103724,10:15:00 - 19:45:00,10:00:00 - 19:45:00,09:30:00 - 19:45:00,09:45:00 - 19:45:00,09:45:00 - 20:00:00,10:30:00 - 19:45:00,10:00:00 - 19:45:00
Churrascão Gaúcho Niterói,RESTAURANT,Carnes,3.43,4.6,65,false,false,true,false,34,29142444000143,VOLTA REDONDA,40032665,27283370,Niterói,Avenida Nossa Senhora Do Amparo,160,-22.498303,-44.09127,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 14:45:00,11:00:00 - 15:45:00,11:00:00 - 22:30:00
Sabor Da Mamãe,RESTAURANT,Lanches,3.77,4.1,42,false,false,false,false,9,27240188000100,VOLTA REDONDA,999923235,27253250,São João,Rua Desembargador Toledo Piza,359,-22.516918,-44.093275,17:00:00 - 23:45:00,08:00:00 - 15:00:00,08:00:00 - 15:00:00,17:00:00 - 23:45:00,08:00:00 - 15:00:00,08:00:00 - 15:00:00,08:00:00 - 15:00:00
Araújos Lanches E Grill,RESTAURANT,Lanches,6.35,4.2,50,false,false,false,false,15,33891559000108,RESENDE,999419634,27258020,Jardim Belvedere,R Romeu Da Costa Vieira,135,-22.531004,-44.073174,06:00:00 - 14:45:00,06:00:00 - 14:45:00,06:00:00 - 14:45:00,06:00:00 - 14:45:00,06:00:00 - 14:45:00,06:00:00 - 14:45:00,06:00:00 - 14:45:00
Matos Restaurante,RESTAURANT,Comida Brasileira,3.01,4.8,45,false,false,false,false,25,31017106000121,VOLTA REDONDA,33483420,27260010,Santa Cecilia,Rua Alberto Pasqualine,58,-22.518836,-44.104319,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00
